id,journey,ui_element,current_binding,identifier_type_unit,producer_authority,audience,publication_rule,freshness_revision,missing_behavior,update_withdrawal_effect,evidence,qualification,defect,map_version,field_model,field_name,consumer_file,provider,owner_editor,owner_save_publish,validation_actual,publication_gap,required_update_unpublish,source_commit,source_path,source_line,visibility_class,authority_class
CAT-018,OWNER-PUBLIC-HANDOFF,BuyV2Product.deliveryPromise,BuyV2Product.deliveryPromise: String,String,"owner-specific offer/fulfilment field, except derived unit price",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,deliveryPromise,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (deliveryPromise),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,451,public_when_published,"owner-specific offer/fulfilment field, except derived unit price"
CAT-019,OWNER-PUBLIC-HANDOFF,BuyV2Product.origin,BuyV2Product.origin: String,String,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,origin,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (origin),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved. Editor defaults blank origin to India; not evidence of true country of origin.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,452,public_when_published,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth
CAT-020,OWNER-PUBLIC-HANDOFF,BuyV2Product.confirmedOn,BuyV2Product.confirmedOn: String,String,"owner public identity for seller; platform/system authority for verified role, checked time and merchandising claims",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,confirmedOn,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct(storeName):4355,Store name from activeWorkspace/name; no owner editor for verified status or system verification timestamp,No proven owner-to-public publish action for this field,"Current mapper supplies sellerType=Verified retailer, badge=Store price and confirmedOn=Updated by store defaults; these are not proof of moderation or fresh server verification",No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,453,public_when_published,"owner public identity for seller; platform/system authority for verified role, checked time and merchandising claims"
CAT-021,OWNER-PUBLIC-HANDOFF,BuyV2Product.visualLabel,BuyV2Product.visualLabel: String,String,"owner-specific offer/fulfilment field, except derived unit price",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,visualLabel,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (visualLabel),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,454,public_when_published,"owner-specific offer/fulfilment field, except derived unit price"
CAT-022,OWNER-PUBLIC-HANDOFF,BuyV2Product.visualKind,BuyV2Product.visualKind: String,String,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,visualKind,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,455,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-023,OWNER-PUBLIC-HANDOFF,BuyV2Product.mrp,BuyV2Product.mrp: int?,int?,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,mrp,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (mrp),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,456,public_when_published,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth
CAT-024,OWNER-PUBLIC-HANDOFF,BuyV2Product.requiresPrescription,BuyV2Product.requiresPrescription: bool,bool,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,requiresPrescription,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,No verified Store publication transport into public Buy; owner preview is not publication,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,457,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-025,OWNER-PUBLIC-HANDOFF,BuyV2Product.composition,BuyV2Product.composition: String?,String?,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,composition,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (composition),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,458,public_when_published,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth
CAT-026,OWNER-PUBLIC-HANDOFF,BuyV2Product.regulatoryNote,BuyV2Product.regulatoryNote: String?,String?,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,regulatoryNote,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (regulatoryNote),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,459,public_when_published,canonical/manufacturer facts or validated owner claims; arbitrary store edits must not overwrite platform canonical truth
CAT-027,OWNER-PUBLIC-HANDOFF,BuyV2Product.minimumOrder,BuyV2Product.minimumOrder: int,int,"owner-specific offer/fulfilment field, except derived unit price",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,minimumOrder,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (minimumOrder),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,460,public_when_published,"owner-specific offer/fulfilment field, except derived unit price"
CAT-028,OWNER-PUBLIC-HANDOFF,BuyV2Product.returnPolicy,BuyV2Product.returnPolicy: String?,String?,"owner-specific offer/fulfilment field, except derived unit price",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,returnPolicy,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (returnPolicy),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,461,public_when_published,"owner-specific offer/fulfilment field, except derived unit price"
CAT-029,OWNER-PUBLIC-HANDOFF,BuyV2Product.purchaseProtection,BuyV2Product.purchaseProtection: BuyV2PurchaseProtection?,BuyV2PurchaseProtection?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,purchaseProtection,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,WorkspaceCatalogueItem.toBuyPublicProduct does not supply this field. Preserve missing/default behavior; add authorized explicit mapping before publication.,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,462,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-030,OWNER-PUBLIC-HANDOFF,BuyV2Product.compliance,BuyV2Product.compliance: BuyV2ProductCompliance?,BuyV2ProductCompliance?,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,compliance,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,WorkspaceCatalogueItem.toBuyPublicProduct does not supply this field. Preserve missing/default behavior; add authorized explicit mapping before publication.,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,463,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-031,OWNER-PUBLIC-HANDOFF,BuyV2Product.freightIncluded,BuyV2Product.freightIncluded: bool,bool,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,freightIncluded,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,WorkspaceCatalogueItem.toBuyPublicProduct does not supply this field. Preserve missing/default behavior; add authorized explicit mapping before publication.,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,464,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-032,OWNER-PUBLIC-HANDOFF,BuyV2Product.manufacturerVerified,BuyV2Product.manufacturerVerified: bool,bool,owner_offer_or_platform_fact_as_noted,Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,manufacturerVerified,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,BuyV2Session: cataloguePageSource/publishedCatalogueSource/productFactsAdapter/productContentAdapter/marketplaceTrustAdapter as applicable; default catalogue/review adapters are not authoritative owner publication,MISSING for this field in the inspected current Store editor; do not infer an editor from a consumer label,No proven owner-to-public publish action for this field,Typed client contract only unless the field-specific rule below states more; server publication validation remains unqualified,WorkspaceCatalogueItem.toBuyPublicProduct does not supply this field. Preserve missing/default behavior; add authorized explicit mapping before publication.,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,465,public_when_published,owner_offer_or_platform_fact_as_noted
CAT-033,OWNER-PUBLIC-HANDOFF,BuyV2Product.catalogueListing,BuyV2Product.catalogueListing: bool,bool,"owner-specific offer/fulfilment field, except derived unit price",Public consumer projection only; not the private Store record,Owner offer may be public only after authorized acknowledged publish; canonical and system facts retain their distinct authority,"Requires stable Store+SKU identity, publication revision, current scope and authoritative freshness",Preserve existing unavailable/illustration/missing-fact behavior; do not fabricate provider facts,Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,HANDOFF.md current catalogue handoff; prior PD rows retain their original evidence,SOURCE TRACE ONLY; not end-to-end publication qualification,,2026-09-16-v1,BuyV2Product,catalogueListing,apps/mobile/lib/ui_v2/buy/buy_v2_catalogue.dart; apps/mobile/lib/ui_v2/buy/buy_v2_views.dart,WorkspaceCatalogueItem.toBuyPublicProduct:4355 -> local Store SKU preview; public Buy adapter connection MISSING,apps/mobile/lib/features/work/screens/work_workspace_dashboard_screen.dart:14832 _CatalogueProductEditorState (publicListing),_save:14929 -> WorkSession.addOrUpdateWorkspaceProduct:7618 -> _persistOperationalState:6563; publicListing toggle:12797; retirement:7690,"Editor requires title/brand/pack/category/SKU; purchase>0, selling>purchase, stock>=0, MRP>=selling, delivery text, minimumOrder>0; public toggle in editor requires canonical master match and available stock. Direct quick toggle follows a different path; server validation not proved.","Local editor/preview mapping exists; authoritative Store catalogue publish/acknowledgement and public refresh are not wired. With orderOperations active, _persistOperationalState explicitly keeps changes device-local.",Publish an authorized allowlisted revision; invalidate matching public pages/facts; withdraw from discovery and block new Add/quote on unpublish; preserve immutable historical orders,f0fc06a92bb43627ec4ca952e8996a888ec96ac2,apps/mobile/lib/features/buy/buy_v2_models.dart,466,public_when_published,"owner-specific offer/fulfilment field, except derived unit price"
