"Screen","ApprovedReference","Title","DirectAndReachableControls","InitiallyRenderedControls","ScriptRevealedControls","NavigationLinks","Inputs","NestedSheetDialogActions","ControlLabels"
"047","47-salon-post-visit-support.html","47 Salon Post-Visit Support - MoolSocial Screenbook","18","18","0","13","0","0","a: Back to salon receipt | button: Saved salons | a: Issue status | button: Call salon | a: Salon support chat | a: Choose issue | a: Open chat | button: Bill Correction wrong amount | button: Service Service quality issue | button: Safety Concern hygiene or safety | a: S Ask review Correction, refund, rework or salon reply MoolSocial sends saved bill, payment and rating record. Review op | a: I Add proof Photo, bill, chat note or short comment Do this only when needed for verification. Add proof | a: Continue in chat | a: Close | a: Mool | a: Issue | a: Proof | a: Support"
"048","48-book-get-it-done.html","48 Book Get It Done - MoolSocial Screenbook","31","31","0","5","1","1","a: Back to Book | button: Saved tasks | button: Search | button: Scan proof | button: Voice task | button: Jodhpur | button: Delhi | button: Mumbai | button: Chennai | button: Other city | button: Pickup Pickup work shop, counter, parcel | button: Document Office work form, queue, status | button: Market Buy locally price, bill, photo | button: Custom Explain task photo, voice, note | button: Pickup place Shop, counter, office or address Map pin or typed address Add needed | button: Task instruction What exactly should be done? Text, voice or photo works Add needed | button: Approval rule Ask before buying or closing User controls final release Set safe | button: Photo | button: Bill | button: Status | a: Review task | a: Chat | a: Mool | a: Pickup | a: Office | a: Market | a: Custom | a: Open chat | button: Close task detail editor | input: Task detail | button: Save detail"
"049","49-get-it-done-review-payment.html","49 Get It Done Review Payment - MoolSocial Screenbook","15","15","0","8","0","4","a: Back to task details | button: Task saved | button: Task proof | button: Voice help | button: UPI hold fast | button: Card hold secure | button: Wallet balance | a: Confirm task | a: Edit | a: Mool | a: Details | a: Hold | button: Proof | a: Support | a: Open chat"
"050","50-get-it-done-helper-accepted.html","50 Get It Done Helper Accepted - MoolSocial Screenbook","14","14","0","8","0","0","a: Back to review | button: Save task | button: Task proof | button: Voice help | a: Chat | a: Call | a: Share | a: Open task chat | a: Proof | a: Mool | a: Hold | a: Live | a: Cancel | a: Open chat"
"051","51-get-it-done-proof-release.html","51 Get It Done Proof Release - MoolSocial Screenbook","15","15","0","12","0","0","a: Back to live task | button: Save proof | button: Zoom proof | button: Voice help | a: Release Rs 519 task done, proof accepted Release | a: Ask for clearer proof payment remains held while helper responds Chat | a: Report issue wrong proof, incomplete task or safety concern Hold | a: Release payment | a: Chat | a: Mool | a: Live | a: Proof | a: Release | a: Issue | a: Open chat"
"052","52-get-it-done-completed-rating.html","52 Get It Done Completed Rating - MoolSocial Screenbook","21","21","0","10","0","1","a: Back to proof | button: Save receipt | button: Search receipt | button: Voice help | button: 1 | button: 2 | button: 3 | button: 4 | button: 5 | a: Repeat same task | a: Save helper prefer next time | a: Share receipt/proof | a: Support post-task issue | a: Book again | a: Finish and return to Mool home | a: Mool | a: Done | a: Receipt | button: Rate | a: Help | a: Open chat"
"053","53-get-it-done-issue-support.html","53 Get It Done Issue Support - MoolSocial Screenbook","18","18","0","9","0","0","a: Back to proof | button: Saved support | button: Add proof | button: Voice support | button: Wrong proof photo/bill does not match | button: Task incomplete work not fully done | button: Overcharged spend looks higher | button: Safety concern urgent review needed | a: Submit issue support reviews before any release Send | a: Open task chat ask helper before reporting Chat | a: Submit issue | a: Back | a: Mool | a: Proof | a: Issue | a: Chat | a: Done | a: Open chat"
"054","54-get-it-done-issue-case-status.html","54 Get It Done Issue Case Status - MoolSocial Screenbook","18","18","0","9","0","0","a: Back to proof | button: Saved support | button: Add proof | button: Voice support | button: Report filed Case created from your issue report | button: Evidence synced Proof and bill attached | button: Verification Support validates with helper | button: Decision Refund / rework / keep hold | a: Case ETA 5-15 minutes for specialist response 5-15m | a: Open task chat chat with support while waiting Chat | a: View decision | a: Edit issue | a: Mool | a: Proof | a: Issue | a: Chat | a: Done | a: Open chat"
"055","55-get-it-done-issue-resolution.html","55 Get It Done Issue Resolution - MoolSocial Screenbook","18","18","0","9","0","0","a: Back to proof | button: Saved support | button: Add proof | button: Voice support | button: Refund return protected amount | button: Rework ask helper to finish | button: Adjust bill partial release or refund | button: Close case accept proof and finish | a: Accept refund returns to original payment method Refund | a: Ask support question the decision before closing Chat | a: Accept refund | a: Ask support | a: Mool | a: Proof | a: Result | a: Chat | a: Done | a: Open chat"
"056","56-get-it-done-resolution-complete.html","56 Get It Done Resolution Complete - MoolSocial Screenbook","18","18","0","9","0","0","a: Back to proof | button: Saved support | button: Add proof | button: Voice support | button: Money action refund initiated | button: Task action case closed | button: Proof trail saved to order | button: Support trail available in chat | a: Track refund check refund and receipt status Track | a: Open support chat ask about this result later Chat | a: View receipt | a: New task | a: Mool | a: Proof | a: Saved | a: Chat | a: Done | a: Open chat"
"057","57-pay.html","57 Pay - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: UPI | button: Card | button: Bank | button: Receipt | button: Recharge mobile, DTH, data number, operator, plan | button: Bills electricity, gas consumer number needed | button: Scan Pay shop QR, order QR scan, confirm, receipt | button: Requests approve or reject shop, order, support | a: Continue | a: Receipts | a: Mool | a: Recharge | a: Bills | a: Scan | a: Requests | a: Open chat"
"058","58-pay-recharge.html","58 Pay Recharge - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: UPI | button: Card | button: Saved UPI | button: Receipt | button: Mobile mobile, DTH, data number, operator, plan | button: DTH TV recharge subscriber ID needed | button: Data data booster number, plan, receipt | button: Saved repeat recharge saved numbers | a: Continue | a: Receipts | a: Mool | a: Mobile | a: DTH | a: Data | a: Saved | a: Open chat"
"059","59-pay-bills.html","59 Pay Bills - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: UPI | button: Card | button: Autopay | button: Receipt | button: Electricity fetch due bill consumer number | button: Water municipal bill account number | button: Gas LPG / piped gas consumer ID | button: Internet broadband bill customer ID | a: Continue | a: Receipts | a: Mool | a: Electricity | a: Water | a: Gas | a: Internet | a: Open chat"
"060","60-pay-scan.html","60 Pay Scan - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: UPI | button: Card | button: Saved UPI | button: Receipt | button: Shop QR counter payment merchant name check | button: Order QR MoolSocial order bill already linked | button: Provider QR service/captain verified provider | button: Enter UPI pay by ID UPI/name check | a: Continue | a: Receipts | a: Mool | a: Shop QR | a: Order QR | a: Provider | a: UPI ID | a: Open chat"
"061","61-pay-requests.html","61 Pay Requests - MoolSocial Screenbook","21","21","0","3","0","0","a: Back | button: Request alerts | button: Search | button: Filter requests | button: Voice search | button: Pending | button: Due today | button: Paid | button: Declined | button: Pending 2 requests review before expiry | button: Orders linked requests order or task shown | button: Business verified payees shop or provider | button: People known contacts reason required | a: Review to pay | button: Decline | a: Mool | a: Pending | a: Orders | a: Business | a: People | a: Open chat"
"062","62-pay-request-confirmation.html","62 Pay Request Confirmation - MoolSocial Screenbook","19","19","0","5","1","0","a: Back | button: Payment safety | button: UPI •••• 4821 | button: Other UPI | button: Card •••• 6068 | button: Add method | button: Review Rs 645 payee + purpose + total | button: Pay With UPI or card choose payment method | button: Safety verified + locked receipt and support | input: name@bank | button: Save UPI method | button: Cancel | a: Pay Rs 645 | a: Decline | a: Mool | a: Review | a: Pay With | a: Safety | a: Open chat"
"063","63-pay-processing-receipt.html","63 Payment Success and Receipt - MoolSocial Screenbook","12","12","0","6","0","0","a: Back to Pay | button: Share receipt | button: Receipt Saved transaction references | button: Order Confirmed preparation and delivery | button: Help 24×7 payment or order support | a: Track order | a: Receipt | a: Mool | a: Open all receipts | a: Order | a: Help | a: Open chat"
"064","64-pay-receipts-history.html","64 Pay Receipts and History - MoolSocial Screenbook","14","14","0","5","0","0","a: Back to Pay | button: Filter payment history | button: Search receipts | button: Choose month | button: All 6 records paid, pending and refunds | button: Pending 1 checking do not pay again | button: Refunds 2 records credited or processing | a: View receipt | a: Share | a: Mool | a: All | a: Pending | a: Refunds | a: Open chat"
"065","65-pay-pending-refund-status.html","65 Pending Payment and Refund Status - MoolSocial Screenbook","12","12","0","5","0","0","a: Back to receipts | button: Refresh payment status | button: Status Live provider timeline | button: Details Linked payee, method and reference | button: Help Ready references attached | a: Check status | a: Get help | a: Mool | a: Status | a: Details | a: Help | a: Open chat"
"066","66-pay-failed-reversal-safe-retry.html","66 Failed Payment, Reversal and Safe Retry - MoolSocial Screenbook","11","11","0","4","0","0","a: Back to receipts | button: Check payment result | button: Result Final bank-confirmed outcome | button: Details Linked payee, method and reference | button: Help Ready references attached | a: Try another method | a: Mool | a: Result | a: Details | a: Help | a: Open chat"
"067","67-work.html","67 Work - MoolSocial Screenbook","35","35","0","13","0","0","a: Back | button: Work location | button: Search work | button: Use current location | button: Voice search | button: How monthly potential is calculated | button: Filter opportunities | button: MOOL Create · MoolSocial verified Make one MoolSocial explainer video Remote India 12 slots --:--:-- ₹1,500 per approved | a: Review & Apply → | button: SF Create · Shakti Foods verified Make two product-demo shorts Remote India 18 slots --:--:-- ₹1,200 per approved pair ⌄ | a: Review & Apply → | button: MF Promote · Mahadev Fresh Mart verified Bring completed grocery orders Jodhpur · 4 km 20 orders --:--:-- ₹20 per delive | a: Review & Apply → | button: RS Edit · Riya Sharma verified Edit three vertical short videos Remote India 6 packs --:--:-- ₹900 per approved pack ⌄ | a: Review & Apply → | button: MD Deliver · MoolSocial verified Complete an evening grocery route Jodhpur central 10 routes --:--:-- ₹520 for 8 drops ⌄ | a: Review & Apply → | button: MOOL Onboard · MoolSocial verified Activate local businesses Jodhpur district 40 nearby --:--:-- ₹350 per activation ⌄ | a: Review & Apply → | button: MOOL Job · MoolSocial verified City operations coordinator Jodhpur · on-site 2 roles --:--:-- ₹25k–35k monthly salary ⌄ | a: Review & Apply → | button: Start My Work | a: ₹ Earn with MoolSocial Freelancer, delivery, captain or service work → | a: Grow my business Shop, food, health, salon, transport or supply → | a: Create or promote Creator work and funded advertising campaigns → | button: Close filters | button: For You | button: Jobs | button: Freelance | button: Campaigns | button: Nearby | a: Mool | a: ₹ Earn | a: My Work | a: Open chat"
"068","68-work-opportunity-terms-apply.html","68 Work Opportunity Details - MoolSocial Screenbook","28","28","0","13","0","0","a: Back to Earn | button: Save opportunity | button: Payment and payout + | button: What the publisher provides + | button: Review, correction and rejection + | button: Content use and rights + | button: How monthly potential is calculated | button: Filter opportunities | a: MOOL MoolSocial Verified · Official sponsored campaign ₹1,500 approved video Create Make one MoolSocial explainer video  | a: SF Shakti Foods Pvt Ltd Verified · Manufacturer campaign ₹1,200 approved pair Create Make two product-demo shorts Show p | a: MF Mahadev Fresh Mart Verified · Retailer promotion ₹20 completed order Promote Bring completed grocery orders Earn only | a: RS Riya Sharma Creator Verified · Creator assignment ₹900 approved pack Edit Edit three vertical short videos Raw clips, | a: MD MoolSocial Delivery Verified · Prepaid delivery block ₹520 8 completed drops Deliver Complete an evening grocery rout | a: MOOL MoolSocial Verified · Business activation work ₹350 approved activation Onboard Activate local businesses Owner app | a: MOOL MoolSocial Verified · Permanent role ₹25k-35k monthly salary Job City operations coordinator Partner quality, suppo | button: Start My Work | a: ₹ Earn with MoolSocial Freelancer, delivery, captain or service work → | a: Grow my business Shop, food, health, salon, transport or supply → | a: Create or promote Creator work and funded advertising campaigns → | button: Close filters | button: For You | button: Jobs | button: Freelance | button: Campaigns | button: Nearby | a: Mool | button: Apply now ₹1,500 on approval | a: Open chat"
"069","69-my-work-setup.html","69 My Work Home - MoolSocial Screenbook","19","19","0","14","0","0","a: Back to Work | button: My Work notifications | button: My Work settings | a: Start My Work | a: Open Mahadev Fresh Mart | button: Prepare reserved orders Share an accurate packing and ready time 2 orders | button: Buy low-stock items Compare ready wholesale sources 7 items | button: Settlement ready Next payout can be reviewed ₹8,420 ready | a: Creator Work 1 campaign active | a: Delivery Work Available tonight | a: Add Another Work | a: Mool | a: ₹ Earn | a: My Work | a: Open chat | a: New user | a: From opportunity | a: One workspace | a: Multiple workspaces"
"070","70-my-work-choose-activity.html","70 Progressive Workspace Cards - MoolSocial Screenbook","20","19","1","4","6","1","button: Go back | button: Help choosing work | button: My work is not shown | input: [unlabelled input] | input: Alternate mobile (optional) | button: Send OTP | input: Alternate mobile OTP | button: Verify | button: Change | button: Continue to proof | input: Example: tailoring shop | select: Choose one Products & Trade Food Business Health & Medicine Services & Salon Ride & Transport Create & Work Other | input: City, area or pincode | button: Back to cards | button: Send request | a: Mool | a: ₹ Earn | a: My Work | a: Open chat | nested button: [unlabelled button]"
"071","71-work-profile-proof.html","71 Work Profile Verification - MoolSocial Screenbook","17","16","1","5","1","1","button: Go back | button: Verification help | input: [unlabelled input] | button: Continue to proof | button: Back | button: Review | button: Submit for review | a: Track review | button: Camera | button: Upload | button: Verify number | button: Cancel | a: Mool | a: ₹ Earn | a: My Work | a: Open chat | nested button: [unlabelled button]"
"072","72-my-work-verification-status.html","72 My Work Verification Status - MoolSocial Screenbook","14","14","0","8","1","0","a: Back to My Work | a: Open review support chat | button: Remind later | button: Add GST | a: Open Chat | a: Open My Work | input: 15-character GSTIN | button: Attach | button: Cancel | button: Submit GST | a: Mool | a: ₹ Earn | a: My Work | a: Open chat"
"073","73-workspace-ready-handoff.html","73 Workspace Ready Handoff - MoolSocial Screenbook","7","7","0","7","0","0","a: Back to work profile status | a: Open workspace chat | a: Set up my shop | a: Mool | a: ₹ Earn | a: My Work | a: Open chat"
"074","74-retail-products-stock-setup.html","74 Retailer Hybrid B2B-B2C App - MoolSocial Screenbook","111","13","98","11","6","100","button: Open retailer business home | button: Orders on | button: Open Business Book | button: Open retailer alerts | a: Switch to personal MoolSocial | button: Orders | button: Stock | button: Wholesale Buy | a: Open retailer chat | button: Close | button: Continue | button: Business Home | button: Business Book | nested input: [unlabelled input] | nested button: Scan barcode | nested button: Enter order | nested button: Order + delivery | nested button: New Order | nested button: Home Delivery | nested button: Add Stock | nested button: Send Invoice | nested a: MOOLSOCIAL BUSINESS SERVICES Delivery, sales, tax, books, offers and ads Separate professional plans for your shop View  | nested a: 1,284 Customers | nested a: 3 Offers | nested a: 18 Slow Stock | nested a: AI Assistant | nested a: 8 Staff | nested a: 92% Settings | nested a: 3 Issues | nested a: 96% Money | nested button: View | nested button: Buy | nested button: + New Order | nested button: All 8 | nested button: App 3 | nested button: Phone 2 | nested button: Counter 2 | nested button: Delivery 3 | nested button: Review | nested button: Invoice | nested button: Track | nested button: [unlabelled button] | nested button: Details | nested button: case added`:""Add to cart""} | nested button: My Stock 124 | nested button: Add from Catalog 10,240+ | nested button: My Stock | nested button: All | nested button: Grocery | nested button: Staples | nested button: Snacks | nested button: Home Care | nested button: Personal Care | nested button: Scan Barcode | nested button: Import CSV | nested button: New Product | nested button: Purchase Bill | nested button: + Add Products | nested button: Add Quantity | nested button: Daily Statement | nested button: Campaigns | nested button: Cart | nested button: For You | nested button: Oil & Ghee | nested button: Credit | nested button: Group Price | nested button: Review cart | nested button: Export | nested button: Today | nested button: Week | nested button: Month | nested button: Custom | nested button: View reports | nested button: Statement | nested button: No campaign | nested button: Shop offer | nested button: Nearby campaign | nested button: Consumer sale only | nested button: Also list in Business Bulk | nested select: Available Not available | nested button: Remove one case | nested button: Add one case | nested button: Phone | nested button: Counter | nested button: Chat | nested button: Counter pickup | nested button: Home delivery | nested button: Own delivery | nested button: Customer pays | nested button: Shop pays | nested button: Offer funded | nested button: Mool Chat | nested button: WhatsApp | nested button: SMS link | nested button: QR | nested button: Print | nested button: Download | nested select: Aashirvaad Whole Wheat Atta 1 kg Fortune Sunflower Oil 1 L | nested select: Nearby customers Repeat customers Basket buyers | nested button: Purchase bill | nested button: CSV file | nested button: Count | nested button: Sales | nested button: Purchases | nested button: Inventory | nested button: Invoices | nested button: GST summary | nested button: P&L | nested select: Earliest available Schedule delivery | nested select: UPI Approved supplier credit Bank transfer | nested button: Open"
"075","75-retailer-order-review-fulfilment.html","75 Retailer Order Review and Fulfilment - MoolSocial Screenbook","34","10","24","7","0","26","a: Back to retailer orders | a: Open Business Book | button: Open order alerts | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Continue | nested button: Mark packed | nested button: Cannot fulfil | nested button: Accept order | nested button: Back to orders | nested button: View transfer | nested button: Message | nested button: Start packing | nested button: Item issue | nested button: Mark order packed | nested button: Change | nested button: Request delivery | nested button: Message customer | nested button: Track delivery | nested button: Call customer | nested button: 12 lines | nested button: Stock issue | nested button: Shop closing | nested button: Capacity full | nested button: Damaged | nested button: Count mismatch | nested button: Wrong variant | nested button: Mool delivery | nested button: Own delivery | nested button: Counter pickup"
"076","76-retailer-delivery-assignment-handover.html","76 Retailer Delivery Assignment and Handover - MoolSocial Screenbook","19","10","9","7","0","11","a: Back to order | a: Open Business Book | button: Open delivery alerts | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Continue | nested button: Delivery issue | nested button: Parcel ready | nested button: Track captain | nested button: Captain is here | nested button: Not this captain | nested button: Confirm handover | nested button: Message captain | nested button: Track delivery | nested button: Call captain"
"077","77-retailer-delivery-tracking-completion.html","77 Retailer Delivery Tracking and Completion - MoolSocial Screenbook","19","13","6","7","0","8","a: Back to delivery handover | a: Open Business Book | button: Open delivery alerts | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | button: Out for delivery | button: Delayed | button: Delivered | nested button: Message captain | nested button: Call captain | nested button: View receipt | nested button: View sale entry | nested button: Delivery issue | nested button: Open live tracking"
"078","78-retailer-create-order.html","78 Retailer Create Order - MoolSocial Screenbook","24","10","14","7","2","16","a: Back to retailer orders | a: Open Business Book | button: Open order alerts | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: [unlabelled button] | nested button: Create another counter | nested input: Customer mobile | nested button: Find | nested input: Search My Stock | nested button: Scan barcode | nested button: Add by voice | nested button: Use repeat basket | nested button: Reduce | nested button: Add | nested button: + Add | nested button: Create order · ₹ | nested button: New order | nested button: Clear"
"079","79-retailer-counter-management.html","79 Retailer Counter Management - MoolSocial Screenbook","22","19","3","7","2","5","a: Back to counter order | a: Open Business Book | button: Show counter needing attention | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | input: Counter purpose | button: Main Billing | button: Express | button: Delivery Orders | button: Wholesale | button: Returns | input: Operator name | button: Open now | button: Keep closed | button: Create counter | nested button: [unlabelled button] | nested button: Edit selected counter | nested button: ${counter.state==="
"080","80-retailer-counter-sale-invoice.html","80 Retailer Counter Sale and Invoice - MoolSocial Screenbook","20","10","10","7","0","12","a: Back to counter order | a: Open Business Book | button: Open sale alert | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: 3 items in this sale Oil, atta and salt View | nested button: [unlabelled button] | nested button: Complete sale | nested button: Edit order instead | nested button: View | nested button: Mool Chat | nested button: WhatsApp | nested button: SMS | nested button: QR / Print | nested button: New sale"
"081","81-retailer-wholesale-buy-catalog.html","81 Retailer Wholesale Buy Catalog - MoolSocial Screenbook","20","11","9","7","1","11","a: Back to retailer home | a: Open Business Book | button: Open wholesale alerts | button: Review | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Add cases | nested button: View buying terms | nested button: Reduce | nested button: Add | nested button: Add to cart | nested input: Search wholesale products | nested button: Scan product barcode | nested button: Filter wholesale products | nested button: Reorder | nested button: [unlabelled button]"
"082","82-retailer-wholesale-cart-purchase-order.html","82 Retailer Wholesale Cart and Purchase Order - MoolSocial Screenbook","16","10","6","7","0","8","a: Back to wholesale catalog | button: Save wholesale cart | button: Review Order | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Continue | nested button: Price & Terms | nested button: Reduce | nested button: Add | nested a: Browse Wholesale Products | nested button: Mahadev Fresh Mart Paota, Jodhpur · delivery address | nested button: GSTIN verified 08ABCDE1234F1Z5 · GST tax invoice"
"083","83-retailer-wholesale-order-confirmed.html","83 Retailer Wholesale Order Confirmation - MoolSocial Screenbook","12","10","2","6","0","4","a: Back to wholesale order review | button: Download purchase orders | button: Track Orders | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: View PO | nested button: Track Order"
"084","84-retailer-wholesale-delivery-tracking.html","84 Retailer Wholesale Delivery Tracking - MoolSocial Screenbook","14","10","4","6","0","6","a: Back to wholesale order confirmation | button: Delivery alerts | button: Delivery Help | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: · | nested button: Call | nested button: Chat | nested button: Report delay"
"085","85-retailer-wholesale-goods-receipt.html","85 Retailer Wholesale Goods Receipt - MoolSocial Screenbook","18","10","8","6","0","10","a: Back to delivery tracking | button: Goods receipt help | button: Confirm Receipt | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: All Received 3 cases · good condition | nested button: Report Issue short, damaged or mismatch | nested button: Report Issue change receipt result | nested button: GST tax invoice INV-SM-2941 | nested button: Short Quantity | nested button: Damaged Goods | nested button: Wrong Product | nested button: Invoice Mismatch"
"086","86-retailer-wholesale-receipt-result.html","86 Retailer Wholesale Receipt Result - MoolSocial Screenbook","16","16","0","7","0","8","a: Back to goods receipt | button: Receipt result help | button: Whole Wheat Atta 5 kg Aashirvaad · existing catalogue item 28 packs NEW STOCK | button: Protected advance Payment partner release initiated ₹856.80 PROCESSING | button: Balance on delivery Authorized against accepted receipt ₹1,999.20 AUTHORIZED | button: Purchase value Posted to Purchase Book ₹2,856.00 POSTED | button: GRN-85021 3 cases · 12 packs · no discrepancy | button: GST invoice INV-SM-2941 Matched to PO and accepted quantity | a: View Stock | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done"
"087","87-retailer-purchase-book.html","87 Retailer Purchase Book - MoolSocial Screenbook","42","24","18","6","1","20","a: Back to Business Book | button: Purchase Book tools | button: Jul 2026 | button: Purchases | button: Payables 2 | button: Returns | button: View | input: Supplier, PO or invoice | button: Add supplier bill | button: All 18 | button: MoolSocial POs | button: Direct Bills | button: Paid | button: JD Jodhpur Authorised Distributor Aashirvaad Atta · 3 cases · 12 packs MoolSocial PO · GRN-85021 · INV-SM-2941 ₹2,856 PR | button: RT Rajasthan Tea Distribution Tata Premium Tea · 1 case · 12 packs MoolSocial PO · Credit due 25 Jul ₹2,568 DUE 25 JUL | button: JS Jodhpur Dairy Supply Milk, curd and paneer · 6 lines Direct bill · Stock posted · INV-JDS-440 ₹6,480 PAID | button: MF Mandore Fresh Supplier Vegetables and fruit · 14 lines Direct bill · MFS-118 · Stock posted ₹3,920 PAID | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: Reorder | nested button: Return Goods | nested button: Invoice | nested button: Supplier Statement | nested button: Scan Invoice | nested button: Upload Photo | nested button: Enter Manually | nested button: ₹ Supplier payments due 2 bills · next due 25 Jul 2 | nested button: G GST invoice needs correction Supplier GSTIN missing on one bill 1 | nested button: ↗ Purchase cost increased 3 SKUs rose more than 5% 3 | nested button: R Supplier statement mismatch One payment not matched 1 | nested button: PDF | nested button: Excel | nested button: CSV | nested button: ↓ Export Purchase Book PDF, Excel or CSV | nested button: A Share with accountant Controlled read-only report | nested button: G GST purchase summary Eligible input and issues | nested button: ↑ Import purchase bills CSV or Excel with validation"
"088","88-retailer-supplier-bill-payment.html","88 Retailer Supplier Bill and Payment - MoolSocial Screenbook","22","16","6","6","0","8","a: Back to Purchase Book | button: Supplier bill tools | button: RT Rajasthan Tea Distribution GSTIN 08AABCR7781M1ZP · Jodhpur VERIFIED | button: Tax invoice INV-RTD-665 12 Jul 2026 · original photo retained Extraction reviewed · GST matched | button: ✓ PO Matched 1 case | button: ✓ GRN Matched 12 packs | button: ✓ GST Valid Invoice ready | button: Report Issue | button: Review Payment | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: UPI | nested button: Bank Transfer | nested button: Record Paid Elsewhere | nested button: Set Reminder | nested button: Share Bill | nested button: Download Invoice"
"089","89-retailer-supplier-payment-status.html","89 Retailer Supplier Payment Status - MoolSocial Screenbook","12","10","2","6","0","4","a: Back to supplier bill | button: Payment help | button: Refresh | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: View Bill | nested button: [unlabelled button]"
"090","90-retailer-sales-book.html","90 Retailer Sales Book - MoolSocial Screenbook","34","22","12","10","1","14","a: Back to Business Book | button: Export sales book | button: Today | button: Sales | button: Payments 2 | button: Returns 1 | button: Review | input: Invoice, customer or order | button: Create sale | button: All | button: App | button: Counter | button: Phone | button: Chat | button: Due | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: · | nested button: View Invoice | nested button: Share Receipt | nested a: MS MoolSocial Chat Linked receipt in the customer thread › | nested a: WA WhatsApp Approved template or secure receipt link › | nested a: QR QR or Print Counter receipt without app installation › | nested a: C Counter Sale Scan products and collect payment › | nested a: P Phone Order Select customer and arrange pickup or delivery › | nested a: CH Chat Order Create from the linked customer conversation › | nested a: PDF Sales Statement Invoice, payment and return summary › | nested a: GST GST-ready Export Taxable value and invoice register › | nested a: CA Share with Accountant Role-controlled access with audit trail ›"
"091","91-retailer-stock-statement.html","91 Retailer Stock Statement - MoolSocial Screenbook","33","22","11","6","1","13","a: Back to Business Book | button: Export stock statement | button: Today | button: Review | button: Movements | button: Stock Checks 12 | input: Product, SKU, barcode or source | button: Record stock change | button: All | button: Received | button: Sold | button: Reserved | button: Returns | button: Damage | button: Count | a: Switch to personal MoolSocial | a: Retailer orders | a: Retailer stock | a: Wholesale Buy | a: Open retailer chat | button: Close | button: Done | nested button: [unlabelled button] | nested button: ± Record Physical Count Enter counted quantity and reason › | nested button: ! Damage or Expiry Move quantity out of sellable stock › | nested button: IN Track Incoming Stock Open linked wholesale delivery › | nested button: ± Physical Stock Count Correct quantity with reason and approval › | nested button: ! Damage or Expiry Record non-sellable quantity › | nested button: SR Supplier Return Link quantity to supplier and purchase › | nested button: ₹ Unrecorded Counter Sale Create the missing sale instead of a stock shortcut › | nested button: PDF Stock Statement PDF Opening, movements and closing stock › | nested button: CSV SKU Movement Export Product-wise source and balance history › | nested button: CA Share with Accountant Role-controlled access with audit history ›"
